Name,Color,L,W,T,P/S
D505,fc9803,3.9,2,1.5,1
T501,cecad4,22,24,24.9,0
M503,1a1a1a,9.4,13.5,1.35,0
C512,f27a46,3.5,1.9,1.9,1
R530,f24b4b,3.2,1.6,0.6,1
ZD504,e02900,3.6,5.4,2.3,1
D508,ffc72b,2,3.9,1.2,1
R531,ff6161,3.2,1.6,0.6,1
R532,e0a500,3.2,1.6,0.6,1
R519,ff8e61,1.02,0.51,0.51,1
R523,ad430e,0.8,1.6,0.45,1
C519,d49c11,2,1.25,1.25,1
D503,2225d6,3.9,2,1.5,-1
C502,4595ad,3.5,1.9,1.9,-1
R501,191282,2,1.25,0.5,-1
ZD501,0e5ac4,1.7,3.85,1.45,-1
R503,055d7d,3.2,1.6,0.6,-1
D501,2e6ef0,1.7,3.85,1.45,-1
D509,3181f2,1.7,3.85,1.45,-1
R515,6857b5,3.2,1.6,0.6,-1
C511,5a12a6,3.5,1.9,1.9,-1
Q504,3282bf,6.15,5.35,1,-1
L501,368f99,4.6,4.1,2,-1
C507,094a66,7.8,6.8,6.1,-1
C505,092cb8,1.6,3.2,1.6,-1
C506,1f2a8c,1.6,3.2,1.6,-1
R517,4e1f8c,2,1.25,0.6,-1
R518,3609d9,1.02,0.51,0.51,-1
C520,7babd1,1,0.5,0.5,-1
C525,385369,0.8,1.6,0.8,-1
R520,9049A1,1.02,0.51,0.51,-1
R526,0361ad,0.8,1.6,0.45,-1
R527,00a5e0,1.02,0.51,0.51,-1
C518,65735,1.6,0.8,0.8,-1
D506,225d6e,1.35,2.8,1.1,-1
ZD502,470fff,1.35,2.7,0.78,-1